Mortgage provider,Institution type,Total originations,Total loan volume
Rocket Mortgage,Independent mortgage company,"464,363","$127,577,000,000"
United Wholesale Mortgage,Independent mortgage company,"348,415","$127,514,000,000"
loanDepot,Independent mortgage company,"156,126","$52,531,740,000"
Wells Fargo,Large bank,"142,769","$78,976,195,000"
Fairway Independent Mortgage Company,Independent mortgage company,"127,965","$40,808,695,000"
Bank of America,Large bank,"121,486","$53,522,050,000"
U.S. Bank,Large bank,"119,747","$42,530,125,000"
JPMorgan Chase,Large bank,"115,033","$72,661,605,000"
PNC Bank,Large bank,"107,904","$37,350,450,000"
"Community Bank, N.A.",Large bank,"101,366","$25,374,430,000"
Crosscountry Mortgage,Independent mortgage company,"99,085","$35,337,675,000"
Caliber Home Loans,Independent mortgage company,"86,850","$29,496,240,000"
Guaranteed Rate,Independent mortgage company,"82,163","$31,008,935,000"
Mortgage Research Center,Independent mortgage company,"79,430","$23,831,530,000"
PennyMac,Independent mortgage company,"76,283","$22,095,015,000"
Nationstar Mortgage,Independent mortgage company,"76,174","$18,122,030,000"
Navy Federal Credit Union,Credit union,"75,462","$18,816,640,000"
Movement Mortgage,Independent mortgage company,"70,607","$22,688,195,000"
Truist Bank,Large bank,"67,580","$20,684,930,000"
Huntington National Bank,Large bank,"67,525","$15,088,585,000"
Freedom Mortgage Corporation,Independent mortgage company,"66,041","$17,911,565,000"
Home Point Financial Corporation,Independent mortgage company,"64,204","$23,167,540,000"
Flagstar Bank,Large bank,"61,200","$24,937,780,000"
Guild Mortgage Company,Independent mortgage company,"59,665","$18,454,595,000"
DHI Mortgage Company Limited,Independent mortgage company,"59,542","$20,130,450,000"
